mode,Win Ranges,Hit Rates,RTP Allocation,freegame,basegame,SIM COUNTS,lo,hi,mid
base,"(0, 0.1)",1.343,0.0,1.006,1.335,4462.0,0.0,0.1,0.05
base,"(0.1, 1)",4.404,0.08726195104831916,542636.052,4.393,2385.0,0.1,1.0,0.55
base,"(1, 2)",781.492,0.001849266681520574,974362.143,709.976,782.0,1.0,2.0,1.5
base,"(2, 5)",263.58,0.01311714003408052,227143.482,251.689,916.0,2.0,5.0,3.5
base,"(5, 10)",177.661,0.0411853579819004,64094.207,178.113,391.0,5.0,10.0,7.5
base,"(10, 20)",125.395,0.1155399082884407,29459.584,125.938,294.0,10.0,20.0,15.0
base,"(20, 50)",222.053,0.1352264793804074,3629.326,236.161,229.0,20.0,50.0,35.0
base,"(50, 100)",273.986,0.2798954032910128,279.298,11242.269,164.0,50.0,100.0,75.0
base,"(100, 200)",963.045,0.1234756940792895,987.094,,144.0,100.0,200.0,150.0
base,"(200, 300)",1715.565,0.1337007153679252,1718.174,,74.0,200.0,300.0,250.0
base,"(300, 500)",29796.0,0.01162942967207186,29796.0,,70.0,300.0,500.0,400.0
base,"(500, 1000)",95239.154,0.00725320641361661,95239.154,,59.0,500.0,1000.0,750.0
base,"(1000, 2000)",320754.482,0.003931324788050587,320754.482,,18.0,1000.0,2000.0,1500.0
base,"(2000, 3000)",2528655.764,0.0009341229031700894,2528655.764,,2.0,2000.0,3000.0,2500.0
base,"(3000, 5000)",,0.0,,,0.0,3000.0,5000.0,4000.0
base,"(5000, 10000)",5000000.03,0.001350023991798305,5000000.03,,10.0,5000.0,10000.0,7500.0
regular_bonus,"(0, 0.1)",,0.0,939.879,,0.0,0.0,0.1,0.05
regular_bonus,"(0.1, 1)",62.422,8.104053512523019e-05,54.754,,650.0,0.1,1.0,0.55
regular_bonus,"(1, 2)",58.485,0.0002494078927546371,55.753,,407.0,1.0,2.0,1.5
regular_bonus,"(2, 5)",18.055,0.001913805957126211,18.09,,915.0,2.0,5.0,3.5
regular_bonus,"(5, 10)",10.109,0.007416799232051484,10.083,,953.0,5.0,10.0,7.5
regular_bonus,"(10, 20)",4.558,0.03299141603188738,4.621,,1061.0,10.0,20.0,15.0
regular_bonus,"(20, 50)",4.197,0.08736559005295538,4.199,,1564.0,20.0,50.0,35.0
regular_bonus,"(50, 100)",6.357,0.1098396907915782,6.397,,1293.0,50.0,100.0,75.0
regular_bonus,"(100, 200)",11.072,0.1256033367855861,11.069,,1252.0,100.0,200.0,150.0
regular_bonus,"(200, 300)",35.26,0.06879518626281103,35.582,,642.0,200.0,300.0,250.0
regular_bonus,"(300, 500)",36.681,0.1058495801194979,36.681,,610.0,300.0,500.0,400.0
regular_bonus,"(500, 1000)",24.134,0.2834543659283968,24.134,,475.0,500.0,1000.0,750.0
regular_bonus,"(1000, 2000)",99.893,0.1254085657110341,99.893,,158.0,1000.0,2000.0,1500.0
regular_bonus,"(2000, 3000)",4067.32,0.006031214697656585,4067.32,,10.0,2000.0,3000.0,2500.0
regular_bonus,"(3000, 5000)",,0.0,,,0.0,3000.0,5000.0,4000.0
regular_bonus,"(5000, 10000)",4500000.167,1.500062166480881e-05,4500000.167,,10.0,5000.0,10000.0,7500.0
super_bonus,"(0, 0.1)",,0.0,1610.689,,0.0,0.0,0.1,0.05
super_bonus,"(0.1, 1)",161.105,1.53003080428411e-05,136.505,,563.0,0.1,1.0,0.55
super_bonus,"(1, 2)",156.936,4.592188537028749e-05,157.225,,287.0,1.0,2.0,1.5
super_bonus,"(2, 5)",48.034,0.0003585026725818586,49.124,,537.0,2.0,5.0,3.5
super_bonus,"(5, 10)",25.62,0.001485305774668756,25.776,,699.0,5.0,10.0,7.5
super_bonus,"(10, 20)",11.192,0.006735883441964297,11.034,,890.0,10.0,20.0,15.0
super_bonus,"(20, 50)",2.347,0.06749878721985589,2.357,,1392.0,20.0,50.0,35.0
super_bonus,"(50, 100)",10.444,0.03366958532202939,10.459,,1223.0,50.0,100.0,75.0
super_bonus,"(100, 200)",7.87,0.1013458840801583,7.838,,1290.0,100.0,200.0,150.0
super_bonus,"(200, 300)",13.615,0.08071151354578074,13.786,,763.0,200.0,300.0,250.0
super_bonus,"(300, 500)",51.278,0.04232029995788414,51.278,,886.0,300.0,500.0,400.0
super_bonus,"(500, 1000)",26.758,0.1321201721102671,26.758,,845.0,500.0,1000.0,750.0
super_bonus,"(1000, 2000)",22.01,0.3106781569056085,22.01,,473.0,1000.0,2000.0,1500.0
super_bonus,"(2000, 3000)",89.618,0.1338637944032654,89.618,,115.0,2000.0,3000.0,2500.0
super_bonus,"(3000, 5000)",430.884,0.04189353043916366,430.884,,25.0,3000.0,5000.0,4000.0
super_bonus,"(5000, 10000)",11634.769,0.002270862491932065,11634.769,,12.0,5000.0,10000.0,7500.0
